com_nam,lin_ima,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb,org_tp,
"CONSERVATIVES RESTORING EXCELLENCE (CRE-PAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00502187&tabIndex=1","N","D","Q","PO BOX 98629","RALEIGH","NC","27624","MCMICHAEL, COLLIN","C00502187","2016",,,,,,"$16,500.00",,,"$16,500.00",,,,,,,,,,,,,"$16,500.00","$16,500.00",,,,"$2,127.14",,,,,,,,,,,,,,,,,,"$4,000.00","$6,127.14","$6,127.14","$16,500.00","$2,127.14","$2,730.50","$13,103.36",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$2,127.14",,,,,,,,,,,"",
"CONSOL ENERGY INC. PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00279331&tabIndex=1","Q","B","M","C/O COMERICA BANK, PAC SERVICES P.O. BOX 75000, MC2250","DETROIT","MI","482752250","ROMAN, EVA","C00279331","2016","$93,930.08","$35,976.24","$129,906.32",,,,,,"$129,906.32",,,,,,,,,,,,,"$129,906.32","$129,906.32",,,,,,,,,,"$54,500.00",,,,,,,,,,,,"$66,350.00","$120,850.00","$120,850.00","$129,906.32",,"$157,818.47","$166,874.79",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"CONSOLIDATED COMMUNICATIONS PAC,  INC. - FEDERAL","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00427542&tabIndex=1","Q","U","Q","350 S LOOP 336 W","CONROE","TX","77304","SHULTZ, MICHAEL","C00427542","2016","$3,911.52","$2,383.79","$6,295.31",,,,,,"$6,295.31",,,,,,,,,,,,,"$6,295.31","$6,295.31",,,,"$21.00",,,,,,"$3,000.00",,,,,,,,,,,,,"$3,021.00","$3,021.00","$6,295.31","$21.00","$96,790.99","$100,065.30",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$21.00",,,,,,,,,,,"C",
"CONSOLIDATED EDISON INC EMPLOYEES' POLITICAL ACTION COMMITTEE (CEIPAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00407635&tabIndex=1","Q","B","Q","4 IRVING PLACE ROOM 506","NEW YORK","NY","10003","MUCCILO, ROBERT","C00407635","2016","$7,086.67","$1,905.09","$8,991.76",,,,,,"$8,991.76",,,,,,,,,,,,,"$8,991.76","$8,991.76",,,,,,,,,,"$1,500.00",,,,,,,,,,,,,"$1,500.00","$1,500.00","$8,991.76",,"$13,527.68","$21,019.44",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00304832&tabIndex=1","Q","U","Q","207 HIGH POINT DRIVE BUILDING 100","VICTOR","NY","14564","PERRY HUMPHREY","C00304832","2016","$96,915.96","$2,221.22","$99,137.18",,,,,,"$99,137.18",,,,,,,,,,,,,"$99,137.18","$99,137.18",,,,,,,,,,"$68,200.00",,,,,,,,,,,,"$147.24","$68,347.24","$68,347.24","$99,137.18",,"$258,504.82","$289,294.76",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"CONSTITUTION PARTY 2012 CONVENTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00518142&tabIndex=1","X","U","Q","408 W CHESTNUT STREET","LANCASTER","PA","17603","FRANK FLUCKIGER","C00518142","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$481.08",,,"$481.08",,,,"2015-01-01","2015-03-31",,"","$481.08",,,"$481.08",,"$445.08",,,,,,"$481.08",,,,,"$36.00",,,,,"",
"CONSTITUTION PARTY NATIONAL COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00279802&tabIndex=1","Y","U","M","408 W. CHESTNUT STREET P.O. BOX 1782","LANCASTER","PA","176081782","HEADINGS, H. JAMES","C00279802","2016","$25,288.24","$19,018.04","$44,306.28",,,"$250.00",,,"$44,556.28",,,,,,,,"$445.08",,,,,"$45,001.36","$45,001.36",,,,"$59,733.09",,,,,,,,,,,,,,,,,,,"$59,733.09","$59,733.09","$44,556.28","$59,733.09","$21,149.77","$6,418.04","$22,221.79","$1,204.30","2015-01-01","2015-07-31",,"",,,,,,,,,,,"$59,733.09",,,,,,,,,,,"",
"CONSTITUTION PARTY OF KENTUCKY ","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00299842&tabIndex=1","X","U","Q","P.O. BOX 23703","LEXINGTON","KY","405233703","TINA KROGDAHL","C00299842","2016",,"$185.00","$185.00",,,,,,"$185.00",,,,,,,,"$418.94",,,,,"$603.94","$603.94",,,,,,,,,,,,,,,,,,,,,,"$150.00","$150.00","$150.00","$185.00",,"$885.82","$1,339.76",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"CONSTITUTIONAL CONSERVATIVES FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00497362&tabIndex=1","Q","D","M","10 WEST BROADWAY SUITE 500","SALT LAKE CITY","UT","84101","MCCAULEY, MIKE","C00497362","2016",,,,,"$2,500.00",,,,"$2,500.00",,,,,,,,,,,,,"$2,500.00","$2,500.00",,,,"$4,880.00",,,,,,"$15,000.00",,,,,,,,,,,,,"$19,880.00","$19,880.00","$2,500.00","$4,880.00","$20,327.50","$2,947.50",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$4,880.00",,,,,,,,,,,"",
"CONSTITUTIONAL RIGHTS PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00540229&tabIndex=1","V","U","Q","203 SOUTH UNION STREET STE 300","ALEXANDRIA","VA","22314","BACKER, DAN MR. ESQ.","C00540229","2016",,"$13,687.01","$13,687.01","$100.00",,,,,"$13,687.01","$100.00",,,,,,,,,,,"$56,678.07","$70,365.08","$70,365.08",,,,"$7,312.07",,,,,,,,,,,,,,,,,,"$57,722.58","$65,134.65","$65,134.65","$13,587.01","$7,312.07","$1,242.94","$6,473.37",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$7,312.07",,,,,,,,,,,"",
"CONSTRUCTORS ASSOCIATION OF WESTERN PENNSYLVANIA POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00341016&tabIndex=1","Q","U","M","800 CRANBERRY WOODS DRIVE SUITE 110","CRANBERRY TOWNSHIP","PA","16066","BARCASKEY, RICHARD","C00341016","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,500.00",,,,,,,,,,,,,"$2,500.00","$2,500.00",,,"$28,808.38","$26,308.38",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,,,,,,,,,,,,"T",
"CONSUMER ADVOCATES FOR REAL ECONOMIC STRENGTH","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00489880&tabIndex=1","N","U","T","610 S BOULEVARD","TAMPA","FL","33606","NANCY H WATKINS","C00489880","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,324.49",,,,,,,,,,,,,,,,,,,"$2,324.49","$2,324.49",,"$2,324.49","$2,324.49",,,,"2015-01-01","2015-04-21",,"",,,,,,,,,,,"$2,324.49",,,,,,,,,,,"",
"CONSUMER BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE, THE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00035535&tabIndex=1","Q","B","M","1225 EYE STREET, NW, SUITE 550","WASHINGTON","DC","20005","JAYNE E HUNT","C00035535","2016","$63,000.00","$800.00","$63,800.00",,,"$87,500.00",,,"$151,300.00",,,,,,,,,,,,"$9.95","$151,309.95","$151,309.95",,,,"$1,384.70",,,,,,"$144,300.00",,,,,,,,,,,,,"$145,684.70","$145,684.70","$151,300.00","$1,384.70","$153,265.02","$158,890.27",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$1,384.70",,,,,,,,,,,"T",
"CONSUMER CREDIT INSURANCE ASSOCIATION DBA CONSUMER CREDIT INDUSTRY ASSOC PAC (CCIA PAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00550483&tabIndex=1","N","U","Q","6300 POWERS FERRY ROAD STE 600-286","ATLANTA","GA","30339","DICK WILLIAMS","C00550483","2016","$20,600.00",,,,,,,,"$20,600.00","$21,600.00",,,,,,,,,,,"$1,000.00","$21,600.00","$21,600.00",,,,,,,,,,"$500.00",,,,,,,,,,,,,"$500.00","$500.00","$20,600.00",,"$15,487.00","$36,587.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"T",
"CONSUMER ELECTRONICS ASSOCIATION PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00375048&tabIndex=1","Q","B","M","1919 SOUTH EADS STREET","ARLINGTON","VA","22202","PETRICONE, MICHAEL","C00375048","2016","$137,122.00","$5,335.00","$142,457.00",,,"$5,000.00",,,"$147,457.00",,,,,,,,,,,,,"$147,457.00","$147,457.00",,,,"$385.61",,,,,,"$121,100.00",,,,,,,,,,,,,"$121,485.61","$121,485.61","$147,457.00","$385.61","$357,115.58","$383,086.97",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$385.61",,,,,,,,,,,"T",
"CONSUMER FIREWORKS SAFETY ASSOCIATION POLITICAL ACTION COMMITTEE FEDERAL ACCOUNT","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00297077&tabIndex=1","N","U","Q","16526 SHORE DRIVE NE","LAKE FOREST PARK","WA","98155","JERALD E FARLEY","C00297077","2016","$5,000.00",,"$5,000.00",,,,,,"$5,000.00",,,,,,,,,,,,,"$5,000.00","$5,000.00",,,,"$42.00",,,,,,"$2,750.00",,,,,,,,,,,,,"$2,792.00","$2,792.00","$5,000.00","$42.00","$1,500.00","$3,708.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$42.00",,,,,,,,,,,"T",
"CONSUMER HEALTHCARE PRODUCTS ASSOCIATION PAC  (CHPA/PAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00040584&tabIndex=1","Q","B","M","1625 I STREET NW SUITE 600","WASHINGTON","DC","20006","GREEN, BRIAN","C00040584","2016","$13,416.99","$2,588.74","$16,005.73",,,"$5,000.00",,,"$21,005.73",,,,,,,,,,,,,"$21,650.86","$21,650.86",,,,"$338.53","$645.13",,,,,"$24,902.60",,,,,,,,,,,,,"$25,241.13","$25,241.13","$21,005.73","-$306.60","$15,617.07","$12,026.80",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$338.53",,,,,,,,,,,"T",
"CONSUMER SPECIALTY PRODUCTS ASSOCIATION PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00122937&tabIndex=1","Q","B","T","1667 K STREET, NW   SUITE # 300","WASHINGTON","DC","20006","KLEIN, BRIGID D.","C00122937","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"T",
"CONTINENTAL AIRLINES INC EMPLOYEE FUND FOR A BETTER AMERICA PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00101766&tabIndex=1","Q","B","M","1600 SMITH STREET SUITE HQSGV-19TH FLOOR","HOUSTON","TX","77002","ANDERSON, MARK R.","C00101766","2016","$145,237.00","$26,017.82","$171,254.82",,,,,,"$171,254.82",,,,,,,,"$100,811.33",,,,,"$272,066.15","$272,066.15",,,,"$96.00",,,,,,"$92,000.00",,,,,,,,,,,,"$46,775.00","$138,871.00","$138,871.00","$171,254.82","$96.00","$112,180.33","$245,375.48",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$96.00",,,,,,,,,,,"C",
"CONTINENTAL AUTOMOTIVE PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00551846&tabIndex=1","N","B","Q","700 13TH ST. NW SUITE 600","WASHINGTON","DC","20005","MUSSELMAN, IAN","C00551846","2016","$12,935.92","$2,570.00","$15,505.92",,,,,,"$15,505.92",,,,,,,,,,,,,"$15,505.92","$15,505.92",,,,"$20.00",,,,,,"$8,500.00",,,,,,,,,,,,,"$8,520.00","$8,520.00","$15,505.92","$20.00","$41,817.24","$48,803.16",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$20.00",,,,,,,,,,,"C",
"CONTINENTAL GRAIN COMPANY POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00155853&tabIndex=1","Q","U","Q","277 PARK AVENUE","NEW YORK","NY","10172","MAYBERRY, MICHAEL","C00155853","2016",,,,,,,,,,,,,,,,,,,,,"$30.85","$30.85","$30.85",,,,,,,,,,,,,,,,,,,,,,"$207.00","$207.00","$207.00",,,"$3,494.54","$3,318.39",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"CONTINENTAL RESOURCES, INC. POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00551184&tabIndex=1","Q","U","M","20 N BROADWAY","OKLAHOMA CITY","OK","73102","MONTGOMERY, DIANE","C00551184","2016","$94,212.00","$22,641.00","$116,853.00","$57.00",,,,,"$116,853.00","$57.00",,,,,,,,,,,,"$116,853.00","$116,853.00",,,,"$27.00",,,,,,"$36,000.00",,,,,,,,,,,,,"$36,084.00","$36,084.00","$116,796.00","$27.00","$16,770.13","$97,539.13",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$27.00",,,,,,,,,,,"C",
"CONTINUING A MAJORITY PARTY ACTION COMMITTEE (CAMPAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00350462&tabIndex=1","Q","D","M","5915 EASTMAN AVENUE SUITE 100","MIDLAND","MI","486406824","KIM HOLZHAUER","C00350462","2016",,,,,,,,,,,,,,,,,,,,,"$6.27","$1,006.27","$1,006.27",,,,"$31,347.73",,,,,,,"$1,000.00",,,,,,,,,,,"$1,000.00","$32,347.73","$32,347.73",,"$31,347.73","$53,405.52","$22,064.06","$709.00",,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$31,347.73",,,,,,,,,,,"",
"CONTINUING AMERICA'S STRENGTH AND SECURITY PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00480228&tabIndex=1","Q","U","Q","PO BOX 80505","BATON ROUGE","LA","70898","STEPHENS, RALPH J.","C00480228","2016","$24,250.00","$600.00","$24,850.00",,,"$126,000.00",,,"$150,850.00",,,,,,,,,,,,,"$151,218.20","$151,218.20",,,,"$64,594.40",,,,,,"$23,000.00","$368.20",,,,,,,,,,,,"$87,594.40","$87,594.40","$150,850.00","$64,594.40","$16,514.48","$80,138.28",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$64,594.40",,,,,,,,,,,"",
"CONTINUUM FUND OF ZACHRY HOLDINGS INC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00471565&tabIndex=1","Q","U","Q","527 LOGWOOD","SAN ANTONIO","TX","78221","LOZANO, JOE","C00471565","2016","$28,426.97","$17,049.91","$45,476.88","$175.00",,,,,"$45,476.88","$175.00",,,,,,,,,,,,"$45,476.88","$45,476.88",,,,"$73.76",,,,,,"$26,000.00",,,,,,,,,,,,"$500.00","$26,748.76","$26,748.76","$45,301.88","$73.76","$157,233.74","$175,961.86",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$73.76",,,,,,,,,,,"C",
"CONTRA COSTA REPUBLICAN PARTY (FED)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00136853&tabIndex=1","Y","U","M","1415  MARCHBANKS DRIVE APT. 1","WALNUT CREEK","CA","945982007","JOY, ROHIT","C00136853","2016","$3,544.02","$3,555.00","$7,099.02",,,,,,"$7,099.02",,,,,,,,,,,,"$435.05","$7,534.07","$7,534.07",,"$1,294.49","$2,301.30","$6,940.90",,,,,,,,,,,,,,,,,,,"$4,639.60","$6,940.90","$7,099.02","$4,639.60","$3,587.05","$4,180.22",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$3,345.11",,,,,,,,,,,"",
"CONTRAN CORPORATION POLITICAL ACTION COMMITTEE (CONPAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00148783&tabIndex=1","Q","U","T","5430 LBJ FREEWAY SUITE 1700","DALLAS","TX","75240","JOHN ST. WRBA","C00148783","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$99,856.83","$99,856.83","$99,856.83",,,"$99,856.83",,,,"2015-01-01","2015-04-27",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"CONTRERAS FOR ARIZONA","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00474007&tabIndex=1","H","P","A","2929 W MALDONADO ROAD","PHOENIX","AZ","85041","DEBBIE THOMPSON","C00474007","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,510.00",,"2015-07-01","2015-09-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"CONVENIENCE DISTRIBUTION ASSOCIATION INC PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00174391&tabIndex=1","Q","U","Q","2750 PROSPERITY AVENUE SUITE 530","FAIRFAX","VA","22031","SCOTT RAMMINGER","C00174391","2016",,,,,,,,,,,,,,,,,,,,,"$2.00","$2.52","$2.52",,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,618.00","$25,621.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"T",
"CONVERGYS CORPORATION POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00350108&tabIndex=1","Q","U","Q","201 EAST 4TH STREET","CINCINNATI","OH","45202","PONTIUS, JARROD","C00350108","2016","$9,058.46","$2,809.66","$11,868.12",,,,,,"$11,868.12",,,,,,,,,,,,,"$11,868.12","$11,868.12",,,,,,,,,,"$12,000.00",,,,,,,,,,,,"$6,000.00","$18,000.00","$18,000.00","$11,868.12",,"$93,827.75","$87,695.87",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"CONYERS FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00409797&tabIndex=1","H","P","Q","PO BOX 75357","WASHINGTON","DC","20002","REMINGTON, MICHAEL J.","C00409797","2016","$39,400.00","$11,344.34","$50,744.34",,,"$98,100.00",,,"$148,844.34",,,,,,,,,,,,"$.24","$149,244.82",,"$106,136.38",,,,"$400.24",,,,,,,,,,,,,,,,,"$7,118.94",,"$113,255.32","$148,844.34","$105,736.14","$7,992.02","$43,981.52","$9,145.00",,"2015-01-01","2015-06-30",,"H6MI01028",,,,,,,,,,,,,,,,,,,,,,"",
"COOK GROUP INC PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00399089&tabIndex=1","N","U","Q","901 NEW YORK AVENUE NW THIRD FLOOR","WASHINGTON","DC","20001","THOMAS A CONNAUGHTON","C00399089","2016","$21,700.00",,"$21,700.00",,,,,,"$21,700.00",,,,,,,,,,,,,"$21,700.00","$21,700.00",,,,,,,,,,"$9,500.00",,,,,,,,,,,,,"$9,500.00","$9,500.00","$21,700.00",,"$18,367.00","$30,567.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"COOL PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00525592&tabIndex=1","N","D","Q","610 S. BOULEVARD","TAMPA","FL","33606","WATKINS, NANCY","C00525592","2016","$10,000.00",,"$10,000.00",,,,,,"$10,000.00",,,,,,,,,,,,,"$10,000.00","$10,000.00",,,,"$2,500.00",,,,,,"$28,000.00",,,,,,,,,,,,,"$30,500.00","$30,500.00","$10,000.00","$2,500.00","$25,868.20","$5,368.20",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$2,500.00",,,,,,,,,,,"",
"COOLIDGE FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00505610&tabIndex=1","H","P","Q","345 OLD SUTTON ROAD","BARRINGTON","IL","60010","COOLIDGE, LESLIE","C00505610","2016",,,,,,,,,,,,,,,,,,,,,,,,"$90.00",,,,,,,,,,,,,,,,,,,,,,,"$90.00",,"$90.00","$74.59","-$15.41","$143,008.02",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"COOPER FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00376665&tabIndex=1","H","P","Q","C/O DGLF CPAS & BUSINESS ADVISORS P.O. BOX 198087","NASHVILLE","TN","37219","DAVIDSON, ROBERT A.","C00376665","2016","$14,900.00","$75.00","$14,975.00",,,"$71,000.00",,,"$85,975.00",,,,,,,,,,,,"$846.96","$86,821.96",,"$90,706.47",,,,,,,,,,,,,,,,,,,,,"$31,155.46",,"$121,861.93","$85,975.00","$90,706.47","$855,540.57","$820,500.60",,,"2015-01-01","2015-06-30",,"H2TN05131",,,,,,,,,,,,,,,,,,,,,,"",
"COOPER TIRE & RUBBER COMPANY POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00370270&tabIndex=1","Q","U","Q","701 LIMA AVENUE","FINDLAY","OH","45840","LAUSE, THOMAS N MR.","C00370270","2016","$4,367.00","$2,149.00","$6,516.00",,,,,,"$6,516.00",,,,,,,,,,,,,"$6,516.00","$6,516.00",,,,,,,,,,"$5,000.00",,,,,,,,,,,,,"$5,000.00","$5,000.00","$6,516.00",,"$79,792.49","$81,308.49",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"COOPERATIVE OF AMERICAN PHYSICIANS FEDERAL POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00161604&tabIndex=1","Q","U","M","333 S. HOPE STREET, 8TH FLOOR","LOS ANGELES","CA","90071","OLSON, REBECCA FED","C00161604","2016","$13,250.00","$22,030.00","$35,280.00","$200.00",,,,,"$35,280.00","$200.00",,,,,,,,,,,,"$35,280.00","$35,280.00",,,,,,,,,,"$53,000.00",,,,,,,,,,,,,"$53,200.00","$53,200.00","$35,080.00",,"$59,478.22","$41,558.22",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"COOPERATIVE OF AMERICAN PHYSICIANS IE COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00492116&tabIndex=1","O","U","M","333 S HOPE ST 8TH FLOOR","LOS ANGELES","CA","90071","OLSON, REBECCA FED","C00492116","2016","$1,325,810.00",,"$1,325,810.00",,,"$50,000.00",,,"$1,375,810.00",,,,,,,,,,,,"$400.96","$1,378,110.31","$1,378,110.31",,,,"$365,430.46","$1,899.35",,,,,,,,,,,,,,,,,"$14,450.00","$379,880.46","$379,880.46","$1,375,810.00","$363,531.11","$3,214.73","$1,001,444.58",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$365,430.46",,,,,,,,,,,"",
"COOS BAY AREA DEVELOPMENT PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00440586&tabIndex=1","N","U","Q","1120 G ST NW SUITE 1020","WASHINGTON","DC","20005","RON OPITZ","C00440586","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$801.00","$801.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"COPART INC POLITICAL ACTION COMMITTEE (COPART PAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00452581&tabIndex=1","Q","U","Q","14185 DALLAS PARKWAY SUITE 400","DALLAS","TX","75254","HINES, JAMES","C00452581","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$63,500.00",,,,,,,,,,,,,"$63,500.00","$63,500.00",,,"$387,670.00","$324,170.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"COPPER STATE MAJORITY FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00542449&tabIndex=1","N","J","T","2910 E GARY WAY","PHOENIX","AZ","85042","TATTRIE, DARRYL","C00542449","2016","$500.00","$1,293.00","$1,793.00",,,,,,"$1,793.00",,,,,,,,,,,,,"$1,793.00",,"$729.38",,,,,,,,,,,,,,,"$1,287.90",,,,,,,,"$2,017.28","$1,793.00","$729.38","$224.28",,,,"2015-01-01","2015-06-01",,"",,,,,,,,,,,,,,,,,,,,,,"",
"COPPER STATE VICTORY FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00528836&tabIndex=1","N","J","T","11640 N TATUM BLVD., #1081","PHOENIX","AZ","85028","W BRIAN POWLEY","C00528836","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$.06",,,,,,,,"$.06",,,"$.06",,,,"2015-01-01","2015-01-26",,"",,,,,,,,,,,,,,,,,,,,,,"",
